Age  north=Enusmu
Enigelu  north=Milusmu south=Milusmo east=Mesmaxo
Misnelnu  east=Eginusnixa west=Mulnosnu
Danilo  east=Axo-Ame
Mamana  north=Anixaxe west=Agosno
Esnodigu  east=Agodisme west=Asnesmu
Disnusmiga  north=Enilo-E east=Egilnisme
Dimusno  south=Exodilu east=Axo-De west=Anu-Dixa
Eginega  north=Doludixa south=Do-Egina east=Mimimu
Agoluda 
Mixesno  south=Axu-Mu
Esmesnu  east=Danoda west=Egamexina
Misme  north=Alusnu east=Dolu-E
Eno-Du  north=Mudosmo east=Digige
Anolege  north=Demesnu east=Du-Ege west=Mo-Mosma
Egasmigo  north=Anulosne south=Anenudu east=Denene west=Memixo
Enelane  north=Emesnige south=Almo-Misno west=Musnu
Dimolu  south=Amelelmu
Amalu-Mu  north=Egigile
Dimude 
Dosmolixo  north=Dusme west=Migosna
Mimu-Mixe  south=Axanasnigixime east=Menosmo west=Mudege
Dinime  north=Du-Ele east=Mulimo west=Memasme
Mesme  south=Dusnanu
Elmole  south=Elina east=Amagude
Elusno  north=Asmesmo east=Agududo
Modimixo  east=Mulina
Egesno  south=Anu east=Mimige
Analisno  east=Denemu west=Deleno
Du-Ame  north=Du-Ama west=Axo-Alisnixo
Elininismu  north=Meleno south=Dosnaxo
Mimagu  south=Minamisma east=Dilulo
Mesmalme  north=Dolno
Emelnu  south=Dismixu
Eno-E 
Exanegixo  north=Mosmu-A east=Minimo
Du-Asme  north=Axo-Du south=Anixixa
Danoda  west=Esmesnu
Axulenino  north=Almimisnu south=Dilnane east=Dimosnu
Alu  north=Agimo-De east=Minele west=Esmixa
Emimu-Misma  south=Mimosnigu east=Dememo west=Esmulme
Dulmesmu  south=Deno-A
Dagu  south=Dininu
Mosno  east=Dexemisnu
Esnusmo  north=Asnesma south=Axigu-A
Emamamu  south=Amudamo east=Du-Mexe
Denalu  north=Dagudigo south=Axigesma east=Mino-E west=Anolu-Do
Exelo-Dine  north=Dulmola west=Enolina
Me  south=Enagu-A east=Musmaxiga west=Asmulno
Mo-Dusmu  north=Dolano south=Musmusmigu west=Agisna
Agamanu  north=Dosmexixigu east=Exodu
Dudismo 
Disnula  north=Dinimo east=Dodage west=Du-Emo
Esnimismo  north=Dusnaxu
Dudo-E  north=Egodixu east=Anexulu
Desnula  north=Dodo-E
Esmino 
Agilnu  west=Aliximu
Enusna  north=Agagisnisno east=Du-E
Agamala  north=Elano-Do
Dolego  north=Anusma west=Ago-Ago
Minigu  north=Axesmo south=Dusmodixa west=Mudo-Da
Aginelimismo  south=Eluda east=Enaxulisnu
Emegegu  south=Masnisnu west=Emodaga
Eminixu  north=Molenile south=Dagemimu east=Esmosme
Mo-Esne  north=Mu-Egu
Mulnosnu  north=Dexemisnu east=Misnelnu
Manemo  north=Magu-Ma east=Milna west=Migu-Do
Exinisnigigigu  south=Desnesna west=Mesmige
Elo-Asmu 
Mo-Dilo 
Mu-Egixu  south=Degaga east=Modigu
Manesmo  north=Denixo south=Esminilixu east=Esmimo
Amasna  north=Emudelo south=Mixolo west=Esmosme
Enalminu  west=Emelo-E
Emosme  south=Dodasnisme west=Alaxasne
Asnanixa  east=Elmigo west=Emosmino
Dulimo  north=Anu-Amo east=Agasnilisne
Esnismo  north=Agigusmo east=Exalmo west=Exigago
Agamesme 
Exulme  north=Exulmo south=Agulesmo
Asnesninixu  north=Daxoligu east=Agesne west=Delilnixa
Mismule 
Masmimu  north=Dexisma west=Dasnigo
Dimile  south=Amelmo west=Axu-Ego
Magudo  south=Mixolixe east=Maxo
Agemasmiga  south=Esnosmo
Emulo-E  north=Elulema west=Emenodu
Emegusmo  north=Degusnu south=Modemo
Emo-Mu  north=Anisna south=Mulmimilo east=Eludila west=Dusmamismo
Damamile  north=Elo-Ene
Anilnigo 
Desma  south=Enanusnile east=Dexale west=Mimene
Enigala  east=Dudusna
Exudusma  north=Meginu south=Axinulu east=Dagele
Denolme  north=Manodo south=Manode east=Exegusnila
Desnole  east=Elanude
Masna  north=Emisne east=Daxega
Dusmilnigu  east=Alnagu west=Asmiliga
Mexine  north=Enegigo south=Elmigo east=Du-Ala
Ananime  north=Demalmimismu south=Elmasna east=Esmolnu west=Minula
Daxama  south=Mosmige east=Exalama west=Esnosnu
Mosnelna  east=Manu-Mu
Damixu  west=Anamexe
Minamixisme  north=Emalno south=Mesnolmu west=Ego-Exu
Elnexe  north=Agu-Ma west=Danuda
Digixinu  north=Amodino south=Dusmigimilna east=Demo-A
Asno-A  north=Elusma south=Asno-E east=Emaninu
Egisma  north=Disnu east=Dasnela west=Magela
Mu-Denimu  south=Emosne
Egolu-E  north=Elmima west=Amismo
Asno-De  south=Amine west=Egolu-Migu
Demusmu  north=Maxalo west=Du-Dixa
Mu-Mu  west=Esmu-De
Eludenilnisno  north=Enolina west=Asmele
Agisna  north=Exulima south=Axu-Ama east=Mo-Dusmu west=Alnismine
Mamiga 
Menala  north=Dimo-Me east=Dudu-E
Emusma  north=Du-Mexisne east=Minegu
Agilusmo  north=Milimilnixinigine east=Mamexu west=Eginu-Dilnilma
Dudeme  north=Agismu south=Exu-Ema west=Masmusno
Axudane  north=Enimaga east=Musmana
Exodamu  south=Elisminu east=Egisna
Do-Ego  south=Milnasmime west=Elneme
Milusmo  north=Enigelu west=Exosmilige
Mo-Milu  north=Maxima
Dalime  north=Moligu south=Enigoda east=Asnelne west=Aligu
Anixaxe  north=Minisna south=Mamana east=Dimemo west=Dusnela
Migamimile  north=Magolu west=Axulemo
Exodilu  north=Dimusno south=Mexe east=Alile west=Anexilu
Dudaxino  west=Du-Mismimo
Egolodo 
Mudinu  east=Molixa
Alusnu  south=Misme west=Esmulo
Egodile  west=Menalne
Demesnu  north=Desmu-Mu south=Anolege west=Malme
Agasna  north=Dolmodigila west=Amodolixo
Anulosne  north=Analo-E south=Egasmigo east=Dosmemina
Emesnige  south=Enelane west=Danu-De
Migemu  south=Aginu
Do-Dosmu  north=Egemamo south=Dixelmo
Eximolna  east=Enilegisna west=Dasmemo
Molana  east=Ago-Agu
Molu-E  south=Diname west=Dodolmu
Axanasnigixime  north=Mimu-Mixe east=Menemo west=Anu-De
Mile  south=Milesnu
Du-Ele  south=Dinime
Enexo-A  north=Agigilmismu south=Alnana east=Emaxila west=Amexeme
Asmesmo  north=Mu-Demigu south=Elusno east=Anolele
Emenodu  north=Desnena south=Anosmo east=Emulo-E west=Axisno
Anu  north=Egesno south=Egesnu east=Degolmu
Anolmu  south=Dismega west=Dasmosma
Dosnaxo  north=Elininismu
Axilenu  east=Egusmiga west=Mosnisne
Dagode  north=Egodo south=Agego-Misna
Demego  east=Modiga
Mosmu-A  north=Axisnima south=Exanegixo
Dilnane  north=Axulenino west=Eneganige
Masmolne  north=Esmolo
Mimosnigu  north=Emimu-Misma east=Aludude west=Misnude
Esnexo  west=Musnego
Musnusmu  south=Megu-A west=Musnenu
Dininu  north=Dagu south=Egusma
Anixa  north=Anu-E
Egegudu  north=Alulmu south=Memamu
Axigu-A  north=Esnusmo west=Esnanu
Esmagimo  north=Mo-Ala south=Melmu west=Mudamo
Agulma 
Enagu-A  north=Me west=Exosma
Egegolilu  west=Enimima
Exexige 
Musmusmigu  north=Mo-Dusmu south=Melmu-Me west=Axu-Ama
Amelexo 
Dinimo  south=Disnula east=Almosno
Megu-Da  north=Mismode east=Agolmu west=Digala
Menu-E 
Maxixa  north=Doludo
Egodixu  north=Asmosne south=Dudo-E west=Dudigu
Aganusne  north=Magane south=Emudesno
Dolege 
Dusmodixa  north=Minigu
Eluda  north=Aginelimismo south=Amulu-A east=Musnenu west=Alnesnilo
Dulelu 
Du-Mo-E  north=Digiginu east=Dimo-Du
Molenile  south=Eminixu east=Menaxo
Maxudo  north=Agudasmu south=Migaligu east=Axilinu
Mu-Egu  south=Mo-Esne
Magu-Ma  north=Esmegu south=Manemo
Desnesna  north=Exinisnigigigu south=Alolne west=Axisma
Daxesno  north=Ananexu south=Memolne east=Agima west=Ago-Agu
Modegixe  east=Exosma west=Eno-A
Degaga  north=Mu-Egixu
Emudelo  north=Milnigigu south=Amasna west=Menaxo
Asnulixu  north=Danasna west=Demolu
Anu-Amo  south=Dulimo west=Alodo
Agigusmo  south=Esnismo east=Dagosmo west=Eludila
Emimimo 
Mago-Dine  south=Elimu-Me west=Maxo-Mo
Dilmusna  south=Mixodu east=Enismigu west=Amolemila
Exulmo  south=Exulme
Daxesnixu  north=Misminu east=Daxelu
Elegodu  south=Anigega east=Magegisnina
Muliga  east=Dexino
Malusma  east=Mene west=Musnena
Amelmo  north=Dimile south=Migusne east=Enudigisna west=Memimu
Mixolixe  north=Magudo south=Minile east=Elu-Milige
Alegudilo  north=Emagixima west=Emegule
Exaxesmilu 
Elulema  north=Milusna south=Emulo-E west=Desnena
Mimusnisma  north=Malisne west=Anusma
Anisna  north=Molame south=Emo-Mu east=Desmexu
Du-Mexisne  south=Emusma east=Emelole
Axudolo  south=Ano-Me east=Aludeno
Alulmigu  east=Elina
Damu-A  west=Anemenime
Desmo 
Asmana  north=Axudosmu
Alu-Mu  north=Dulmosninu east=Dilmime west=Molixo
Asmudo  north=Dexixo east=Milmeme west=Enenesme
Meginu  south=Exudusma
Manodo  north=Mago south=Denolme west=Mu-Mu-E
Dudame  east=Mo-Asmino
Emisne  north=Eludage south=Masna
Axismigo  north=Exismiga
Demalmimismu  north=Dolisne south=Ananime east=Mulemu west=Amo-Milne
Delaniga  east=Axisnismu west=Egosme
Mosmige  north=Daxama
Elnigo  east=Du-Esno west=Enisnime
Dixaxe  south=Agusna west=Alagagimo
Axixala  south=Denosnisme east=Misnudisne
Asmismu  east=Desnuda west=Almolno
Dismudimu  north=Malnosne east=Eminege west=Minoligimu
Agu-Ma  south=Elnexe east=Dodude west=Enolno
Dosmosmo  north=Dosnulu
Axixanu  east=Enixusne west=Dolnolo
Dagemilixe  north=Esnemilu south=Anesme
Enudigisna  south=Exisna west=Amelmo
Elusma  north=Desnismu south=Asno-A east=Emenaxixixu
Disnu  south=Egisma
Dixu-Da 
Milegigimilu  south=Doleme west=Egalexixe
Du-Esme  east=Elilu
Maxalo  north=Egolexu south=Demusmu west=Elixa
Enolina  south=Eludenilnisno east=Exelo-Dine
Eneganige  south=Mimudo east=Dilnane
Axo-Me  north=Modamo east=Alilmo
Exulima  south=Agisna east=Dolano
Dimo-Me  south=Menala east=Dudu-A
Amimusme  east=Megegu
Dulu-Mina  north=Molnilmu south=Enixodu
Megesna  north=Mu-Exu east=Exo-Mixe
Exu-Ema  north=Dudeme south=Elanude east=Demama
Degigu  west=Dilinila
Elisminu  north=Exodamu east=Elodamixu
Milnasmime  north=Do-Ego south=Du-Dude
Dudo-Mo  south=Milusmu west=Esmimu
Digiginu  south=Du-Mo-E
Alasmila  east=Digana west=Elagude
Dismago  east=Esnalu
Moligu  south=Dalime east=Amilala west=Elemolmo
Minisna  north=Mosmesmo south=Anixaxe
Magolu  south=Migamimile west=Dosmixe
Asme  north=Exesmiximu east=Asmene west=Enismigu
Mexe  north=Exodilu south=Mexa west=Enaxamo
Asno  north=Agexisnimo east=Emegu-Miga west=Elusme
Dododu  north=Ememo south=Exodo-E east=Exulusne
Dolmodigila  south=Agasna
Analo-E  north=Eligigimu south=Anulosne
Alosnu  north=Milamo south=Malage east=Minema
Egemamo  south=Do-Dosmu east=Exexana west=Mixusnilina
Daxila  south=Molmudisma west=Almigu
Diname  north=Molu-E east=Desnamu west=Dilemu
Asmego  south=Dusme east=Esmosnu
Agodiga  east=Emigemimismo
Mexasnu 
Agigilmismu  south=Enexo-A
Esnoda  north=Anexusme west=Daxulnimu
Axexulo  north=Dudagu west=Dolagimismo
Mu-Dego  south=Asmesmu
Dixosna  east=Egexesmo
Anosmo  north=Emenodu
Egesnu  north=Anu west=Alno-Me
Dismega  north=Anolmu
Mo-Mudo  south=Aximino east=Eneno west=Elmuda
Emusne  east=Enudulu
Dasnemisne 
Dalaxa  south=Mulmulmu east=Mudeme
Egodo  north=Esnemo south=Dagode east=Esniliga
Dimiga  east=Esmixo west=Exismiga
Axisnima  north=Mosmu-E south=Mosmu-A east=Magosma
Emo-Asne  north=Damosna east=Mimena
Melelo 
Esmolo  north=Ameguda south=Masmolne east=Esmelma west=Aludaga
Musnemu  north=Agigigu
Amu-Mimo  north=Misno-A west=Ego-Eno
Megu-A  north=Musnusmu south=Asmesno east=Muludinu west=Esmage
Egusma  north=Dininu east=Diganile
Mixola  north=Agalu west=Esmosmu
Elulilo  north=Mamismimo east=Dexosna
Anu-E  south=Anixa
Alulmu  south=Egegudu
Amimexe  west=Mismeligo
Dema  north=Egaxu-E south=Asnesma
Melmu  north=Esmagimo south=Dagudigo west=Musmane
Damuligo  east=Egigelila west=Egudulo
Amodo  south=Dulmola
Do-Amisne  south=Dusnodinixa
Axasnisnu  east=Alelema west=Dulila
Alema  north=Dulige south=Anosnisme west=Dulosmixu
Elmismo  north=Mu-Daxo south=Dolano
Mismode  south=Megu-Da east=Mu-Axe
Memu 
Doludo  south=Maxixa
Asmosne  south=Egodixu east=Egemolima west=Anigeno
Emudesno  north=Aganusne east=Modama
Elegima  west=Musnaga
Alasme  east=Musninu west=Agexixu
Enododa  south=Ege west=Misnigilmu
Alalodinu 
Agudasmu  north=Egegelmu south=Maxudo
Dolesnu  east=Mimaxu
Esmegu  north=Malamilima south=Magu-Ma
Minu-A  south=Exigusno east=Dinigu west=Male
Memolne  north=Daxesno south=Esmu-Me west=Exe
Dixu  south=Axo-Misnu west=Masmalino
Musmisnigilmila  east=Memixime west=Mulnusne
Diginige  north=Asmexu south=Degagu east=Enaxodilnine west=Dinalo
Agulolmo 
Mininile  north=Dusnasnu
Egixu  north=Denelo south=Amaxudo east=Melanismu
Danasna  south=Asnulixu east=Mudosne west=Mismane
Elimu-Me  north=Mago-Dine west=Dagego
Mixisnisnu  south=Ama
Mixodu  north=Dilmusna
Dodu-Migigu  north=Elege south=Malimu west=Elesna
Anaxudu  north=Elexodu
Emulmige  south=Dasmemo
Emaxila  west=Enexo-A
Emagixima  south=Alegudilo west=Melisma
Milusna  north=Dagego south=Elulema west=Anosme
Almasnixa  north=Degodige east=Aminega
Minoda  north=Axanigisne south=Aniximu
Molame  north=Molama south=Anisna east=Mismu-A west=Eninusno
Anago-A  north=Ememusma west=Ego-E
Do-Esne  north=Musnaxe east=Egena
Mesnixilo  west=Dodu
Alegesnu 
Eludodo  south=Mosmu-Miniximo
Milna  east=Migago west=Manemo
Dexanige  south=Elamela east=Esmasme
Dexixo  north=Esmige south=Asmudo
Mosmamilu  north=Dasmo-Da south=Anilnu east=Damego west=Dasnilu
Eludage  north=Emisna south=Emisne east=Daxego west=Dinexinu
Egagamino  west=Milolo
Mesnane  east=Dolamo
Alimaxo  north=Elmasna west=Minule
Mosnaxe  east=Axalu-Mo
Denosnisme  north=Axixala south=Du-Axo
Do-Exe  south=Amosne
Emasmisno  east=Esmoligu
Mixuda  south=Emalno west=Alosno
Malnosne  south=Dismudimu east=Dexulmo
Enalodu  north=Musmilisne south=Maxulmu east=Dismexo west=Dodagu
Dosnulu  north=Dusmigimilna south=Dosmosmo
Eginenu  north=Mene south=Delne east=Emixosme
Esnemilu  north=Agigudu south=Dagemilixe
Emamila  north=Egudaxo south=Enexolo east=Dododima west=Axilesme
Doleme  north=Milegigimilu south=Anegime east=Do-Emimo west=Almale
Anusmimo  south=Denexo east=Migaxo
Mu-Dudo 
Delnele  south=Alexena west=Mala
Molmode  south=Elninilmo
Egolexu  south=Maxalo west=Du-Ege
Exane  south=Dulmela west=Dixaxo
Elnamima 
Esnusmixu 
Enixodu  north=Dulu-Mina west=Egodosnige
Mu-Exu  south=Megesna west=Dimaximo
Migexisnixe  south=Dilmime west=Dulmosninu
Elanude  north=Exu-Ema west=Desnole
Mu-Asno  north=Amexeme east=Alnana west=Amelalo
Du-Dude  north=Milnasmime
Milusmu  north=Dudo-Mo south=Enigelu east=Dixiligixa
Dismage  east=Egismilu west=Dilixe
Eludo  north=Asnisno west=Amosnu
Egilege  west=Danimu
Mosmesmo  south=Minisna
Asnena 
Digilme  south=Dodude east=Mo-Amu
Exosma  north=Asmulno east=Enagu-A west=Modegixe
Egasna  west=Musmosma
Mexa  north=Mexe south=Dasmege east=Minudo west=Dudusnu
Enosna  south=Mosnulo east=Axasma west=Mu-Dusna
Ememo  south=Dododu east=Dismudilmilo west=Delosnu
Disninu  south=Alasno east=Dexosnino west=Megino
Masmeme  east=Damenu
Axamosmu  west=Amilu-A
Milamo  north=Mosnu south=Alosnu east=Alegoda
Mudo-Da  east=Minigu west=Anolola
Anixesmo  south=Agameme
Daxu  north=Mulnile west=Aminu-Du
Molmudisma  north=Daxila south=Do-Mole east=Anexe west=Asniligo
Dudu-Do  south=Alalnimismu east=Agegana west=Egine
Dusme  north=Asmego south=Dosmolixo east=Emexege west=Musninu
Digodu  east=Minine
Delilo  north=Mimilne west=Elaxala
Dudagu  north=Mamexa south=Axexulo east=Aginasnu
Dixiligixa  south=Mesmaxo west=Milusmu
Egulage  west=Asnosmu
Aximino  north=Mo-Mudo south=Anudiligo east=Memisno
Modula  south=Dinisna east=Egosmo
Menamigu  east=Egulema west=Dilasnixe
Agulexu  north=Anemusmo west=Anusno
Masmulmigu  north=Dinosnigo east=Mamasne west=Maximo
Dosna 
Esnemo  north=Dule south=Egodo
Almalo  east=Enixelo
Mosmu-E  south=Axisnima east=Amagolmu
Damosna  south=Emo-Asne east=Malnu-A west=Axesnixo
Du-Esno  south=Asmaxe west=Elnigo
Ameguda  north=Exino south=Esmolo west=Emu-Mo
Agu-Da  south=Esnexe east=Menigixu west=Mesmulu
Asmesno  north=Megu-A east=Danulima west=Dasmigu
Agalu  north=Exu-Age south=Mixola
Asmuda  east=Axixisno
Asnesma  north=Dema south=Esnusmo
Emamolo  north=Minesme south=Mo-Ala east=Egagolnu west=Emele
Dulmola  north=Amodo south=Exelo-Dine
Milnude  north=Egududa south=Enanusne west=Enulu
Magela  south=Agodusne east=Egisma
Axodima  east=Mo-Eno
Esmismu  east=Melodo west=Duleno
Anosnisme  north=Alema south=Elmima east=Asnaxu west=Magasne
Degelo  north=Mu-Dalu south=Dolesne
Dolano  north=Elmismo south=Mo-Dusmu west=Exulima
Mixenu  south=Desnesmo east=Dosmelilixa
Elilna  north=Modulile east=Alnulu
Mixaxa  south=Egixene west=Dimelixilnu
Enu-Emina  north=Dudininime east=Alaxo
Anodolme  north=Eginusma
Alisna  west=Meleno
Mu-Exa  north=Anemude south=Mamenimisna
Elano-Do  south=Agamala west=Dismixu
Anusme  east=Aniximu west=Mu-Ame
Dimaximo  east=Mu-Exu west=Amesme
Mimagixa  south=Minige
Dodu  north=Ego south=Emanalixisno east=Mesnixilo west=Esnulu
Modamige  west=Esmu-A
Masnisnu  north=Emegegu east=Manixiga
Mesmeligo  east=Enenuda
Dagemimu  north=Eminixu east=Amamilu
Exigolu  north=Migaligu south=Exanilna west=Disnanu
Dusmagu  north=Dusmago east=Emodulu
Mino-Mo  south=Elulama west=Ele
Malamilima  south=Esmegu west=Axexu-A
Exigusno  north=Minu-A south=Disnode
Mamaxisnigu  south=Ananexu west=Dalmoda
Axo-Misnu  north=Dixu
Dexesne  north=Dasnilu east=Anilnu
Degagu  north=Diginige south=Modisme
Emegu  east=Dixamigu west=Emenanima
Asmolmilna  west=Alo-Mu
Dusnasnu  north=Asmama south=Mininile east=Minixila west=Doligu
Axelolu  west=Agameme
Denelo  north=Desname south=Egixu east=Dasmolo west=Dixesme
Elnulna  west=Ano-Elixe
Elinago  north=Dodu-Da
Anexudilo  west=Mosnusmigu
Anigila  north=Mamaxila
Ama  north=Mixisnisnu
Amilu-A  north=Amilu-E south=Enolmimu east=Axamosmu
Elege  south=Dodu-Migigu east=Dasmula
Almosno  north=Dodago south=Dodage east=Damusmiga west=Dinimo
Agolisnu  east=Elnusminige
Dasmemo  north=Emulmige east=Eximolna west=Amexu-A
Mesnosmo  south=Du-Alna east=Exexusna west=Asmelixu
Axagodixe  north=Maxaga south=Enalude west=Dinosmo
Esnosmo  north=Agemasmiga west=Manola
Dagego  north=Maxo-Mo south=Milusna east=Elimu-Me west=Elalosmu
Axanigisne  south=Minoda
Do-Dexo  south=Mesmusno west=Degema
Musnaxe  south=Do-Esne east=Dusnu-Dixa west=Anilo-Mo
Dodo-E  south=Desnula west=Mino
Melnudima  south=Alnaga east=Enola
Enolaxa  south=Daleme west=Egaminu
Meniga  east=Agosmo
Egusmigo  north=Mulnulnixe south=Axudosmu west=Amenexila
Asnulu  south=Emana
Esmige  north=Magaxe south=Dexixo
Manode  north=Denolme
Dasmo-Da  south=Mosmamilu east=Exelnigo
Emisna  south=Eludage east=Maxu-A west=Muluda
Elmasna  north=Ananime south=Alimaxo west=Alimu
Digosna  south=Dixale east=Molosma
Mudena  west=Dolmesmu
Du-Axo  north=Denosnisme south=Du-Axu
Amosne  north=Do-Exe south=Miguda
Magodu  north=Dulusmu east=Elu-Ema
Musmilisne  north=Esne south=Enalodu east=Exixe west=Enodo
Elnusminige  west=Agolisnu
Mene  north=Egosnu south=Eginenu west=Malusma
Elagime  north=Exisna south=Exisno
Asno-E  north=Asno-A east=Megudu
Egudaxo  south=Emamila east=Do-Egina
Enalismu  north=Dosmamo east=Enusmu
Anegime  north=Doleme south=Denisno
Dudesno  east=Amudamo
Denexo  north=Anusmimo east=Mego-A
Alexena  north=Delnele south=Digima east=Milnoda west=Daxesnilo
Elninilmo  north=Molmode east=Malemu
Elanudilo  south=Egixusnu
Mu-Me  east=Agigulixo west=Esmu-Du
Dege  north=Amolilne south=Mosnolo east=Maxegu
Enalisma  east=Egimane west=Egasnismo
Menosna 
Migaga  north=Migago south=Dudusna east=Modosnu
Emagame  east=Dudaga west=Egosnu
Dilmime  north=Migexisnixe east=Dulola west=Alu-Mu
Eligusmu  north=Meme west=Dismama
Anenaxe  north=Alela south=Digo-Me east=Esmu-De west=Asnusmima
Elexu 
Asnisno  south=Eludo west=Dulisna
Enigoda  north=Dalime east=Dosnixixe
Amolodo  north=Esmoligu south=Mamelno
Asma  north=Elnodu south=Exesmiximu
Degixe  west=Du-Maxe
Dodude  north=Digilme west=Agu-Ma
Asmulno  south=Exosma east=Me
Dasmege  north=Mexa south=Anamago east=Molelmixiximinigixu west=Aximulna
Emenaxixixu  south=Emaninu east=Du-Dolnu west=Elusma
Mosnulo  north=Enosna east=Amula
Exo-De  east=Dagula
Mo-E  north=Axo
Dodasnisme  north=Emosme east=Daxagu
Mosnu  north=Dasmimu south=Milamo east=Agolo
Agameme  north=Anixesmo east=Axelolu
Dixelmo  north=Do-Dosmu east=Ego-Misnimu west=Dusno
Mulnile  north=Dixaga south=Daxu east=Dolmu-E west=Daxexa
Agenagu  north=Maxine south=Maxino
Alilmo  north=Agude south=Mudosmismo west=Axo-Me
Dudu-A  south=Dudu-E east=Dusminu west=Dimo-Me
Magosnu 
Dudelu  north=Do-Amu
Alnana  north=Enexo-A west=Mu-Asno
Mimilne  north=Esnole south=Delilo east=Masnixina west=Mulosna
Mamexa  north=Aminala south=Dudagu
Eludalo  north=Asmesmu south=Miligixu east=Enixamu west=Dusmisne
Agaxo  north=Egosmu east=Enudega
Degasnisme  east=Aximo-Me
Dudema  south=Molmosmo east=Molnasno
Anudiligo  north=Aximino south=Dasmolo east=Eninu west=Desname
Dinisna  north=Modula
Memino  south=Eninile
Ageliga  north=Asmusnixe east=Alelexixe west=Danu
Anemusmo  north=Mu-Esno south=Agulexu
Dalaxe  north=Menude east=Mudema
Dule  south=Esnemo east=Elusnu
Do-Do-Ma  north=Desnana east=Asmano
Emuline  north=Milulinu west=Esmolmo
Exino  north=Ala south=Ameguda
Emodaga  east=Emegegu
Alagulne  south=Misno-A east=Anemexu
Esnexe  north=Agu-Da east=Daxusna west=Elamo
Axudenu  south=Muluda
Exu-Age  south=Agalu east=Mexode
Dimale  east=Dodasme west=Musminu
Mo-Ala  north=Emamolo south=Esmagimo east=Egulixo west=Amilela
Dalolo 
Enanusne  north=Milnude south=Dixesme east=Desname
Agodusne  north=Magela south=Mo
Dolesne  north=Degelo
Desnesmo  north=Mixenu east=Alaximigo
Modulile  south=Elilna
Denemu  north=Du-A east=Menalne west=Analisno
Amixagisna  east=Exaxalo
Eginusma  south=Anodolme
Dilulo  north=Mismilo west=Mimagu
Anemude  south=Mu-Exa
Egasnismo  east=Enalisma west=Axanesmo
Magane  south=Aganusne
Minige  north=Mimagixa west=Dodu-E
Almima 
Emanalixisno  north=Dodu
Dimemu  north=Egelesmu south=Du-Exu east=Emusmu
Do-Asma  north=Mesnimu south=Amelalo east=Amexeme
Migaligu  north=Maxudo south=Exigolu east=Axexano
Alenude  north=Esmasna south=Danisma east=Dudusmixa
Dexemisnu  south=Mulnosnu west=Mosno
Ananexu  north=Mamaxisnigu south=Daxesno east=Mesmilu west=Agemilo
Menu-A  north=Axenemo south=Asmexu west=Dismisno
Asmama  south=Dusnasnu west=Demosmu
Asmalo  north=Amaxudo south=Esnesma east=Megulo west=Asmusnina
Dodu-Da  south=Elinago
Exo-Dimo  north=Molasnina south=Denemilo
Mamaxila  north=Elodige south=Anigila east=Dinaxe
Desmaxe  north=Alnulu
Enolmimu  north=Amilu-A south=Danu-De
Agegana  north=Malimu west=Dudu-Do
Dodage  north=Almosno south=Dulmo west=Disnula
Mixano  west=Masmolmo
Mixama  north=Mixinige south=Elexodu east=Axisnina
Amelme  south=Dasninu east=Exisno
Enalude  north=Axagodixe east=Egigile west=Anexusme
Mesmexa  north=Emolosmu west=Mudemo
Egudiga  east=Musnoda west=Aligodilo
Du-E  north=Dudolne south=Enene east=Egamudixa west=Enusna
Maxo-Mo  south=Dagego east=Mago-Dine west=Anosma
Demine  north=Agaxeme south=Desmalu
Egilegu  north=Axu-Do south=Ememusma west=Elmudixe
Alnaga  north=Melnudima east=Asnelinu
Migaxa  west=Damusnu
Dimulmo  west=Exolo
Daleme  north=Enolaxa south=Esmu-E east=Mudaxu west=Axusme
Mimaxu  north=Emudexu west=Dolesnu
Axudosmu  north=Egusmigo south=Asmana west=Mu-Esnu
Anolesno  north=Anudisniga south=Ego-Mo west=Emexage
Mu-Alo  north=Elamela south=Exinasnu
Magaxe  north=Do-Dima south=Esmige
Mosmexismisna  north=Anilnu east=Axilu-Minilmo
Esmimo  north=Masne west=Manesmo
Daxusnina 
Amolne  north=Molega west=Amo-Da
Enilinisne  east=Esmaxu west=Esnega
Dixale  north=Digosna south=Elmolo east=Dalma
Esmixa  north=Axena east=Alu
Mexosna  east=Desnosnu
Miguda  north=Amosne south=Exigeximu
Mu-Dine  north=Elinudo south=Almodo east=Amixu-Ma
Mu-Digu  north=Dixelismu
Exisna  north=Enudigisna south=Elagime west=Migusne
Molile  south=Axisnina west=Mixinige
Aganexe  south=Minixe
Eminu  east=Mudina
Denisno  north=Anegime south=Elnu-A east=Anenosmo
Mu-Daxo  south=Elmismo east=Mino west=Mu-Esma
Digima  north=Alexena south=Ano-Ega west=Enolelo
Mu-Mimo  north=Emegudo south=Manaxu east=Alulnixa
Egixusnu  north=Elanudilo
Amolilne  north=Dolmexe south=Dege east=Dosnasmo west=Esme
Agosmu  east=Axamulo
Exexalinu  north=Demixa
Migago  north=Maleme south=Migaga east=Ego-Ana west=Milna
Do-Maxo  south=Menagigu
Mesnulima  south=Enenosna east=Alolamo west=Dulmame
Digo-Me  north=Anenaxe east=Mesnine
Anodulma  south=Dega
Mageme  east=Desnelu
Exo-Mo  south=Mudasnu east=Amodu-A west=Dinodu
Milnane  east=Mulosmixo
Elmoda  north=Alegisna south=Esmu-A west=Elnime
Musnasme  east=Mesmino
Esmoligu  north=Minalo south=Amolodo west=Emasmisno
Exesmiximu  north=Asma south=Asme west=Migo-A
